"","qser_no","survey_year","ID","k_group","problem","relationship","gender","age","edu","education","work","marstat","children","livstat","livwhere","meet","tele","adl_who_help","iadl_who_help"
"1","B1331",1996,"B1331_92",NA,0,92,2,41,9,9,1,5,0,0,0,0,0,88,0
"2","B1453",1996,"B1453_93",NA,0,93,2,57,12,12,4,5,4,0,0,0,0,77,77
"3","B1809",1996,"B1809_91",NA,0,91,2,47,6,6,1,5,2,3,4,3,2,88,0
"4","B1890",1996,"B1890_91",NA,0,91,2,55,0,0,1,5,4,0,0,0,0,88,91
"5","B2153",1996,"B2153_92",NA,0,92,2,31,12,12,1,1,2,0,0,0,0,92,92
"6","B2613",1996,"B2613_92",NA,0,92,2,46,6,6,1,5,3,0,0,0,0,88,96
"7","B288",1996,"B288_91",NA,0,91,2,50,6,6,5,5,1,0,0,0,0,88,4
"8","B3753",1996,"B3753_91",NA,0,91,2,56,6,6,4,5,3,0,0,0,0,88,88
"9","B3789",1996,"B3789_91",NA,0,91,2,60,0,0,9,1,5,0,0,0,0,91,91
"10","B431",1996,"B431_93",NA,0,93,2,40,6,6,1,5,2,0,0,0,0,88,42
"11","B1020",1996,"B1020_92",NA,0,92,2,40,12,12,1,1,2,0,0,0,0,88,88
"12","B1070",1996,"B1070_91",NA,0,91,2,57,0,0,1,1,7,0,0,0,0,88,0
"13","B1075",1996,"B1075_92",NA,0,92,2,34,0,0,1,1,1,0,0,0,0,88,32
"14","B1080",1996,"B1080_93",NA,0,93,2,40,12,12,1,1,2,0,0,0,0,36,36
"15","B1084",1996,"B1084_91",NA,0,91,2,35,16,16,1,1,0,0,0,0,0,88,88
"16","B1089",1996,"B1089_91",NA,0,91,2,33,11,12,1,1,3,0,0,0,0,88,88
"17","B1099",1996,"B1099_91",NA,0,91,2,64,0,0,4,1,7,0,0,0,0,88,31
"18","B1108",1996,"B1108_91",NA,0,91,2,23,12,12,1,1,2,0,0,0,0,88,88
"19","B1111",1996,"B1111_92",NA,0,92,2,41,0,0,1,1,2,0,0,0,0,88,88
"20","B1148",1996,"B1148_95",NA,0,95,2,37,15,16,4,1,2,0,0,0,0,88,95
"21","B1157",1996,"B1157_91",NA,0,91,2,45,9,9,2,1,4,0,0,0,0,88,2
"22","B122",1996,"B122_94",NA,0,94,2,29,16,16,1,1,0,0,0,0,0,88,88
"23","B1220",1996,"B1220_91",NA,0,91,2,31,12,12,1,1,1,0,0,0,0,88,88
"24","B1221",1996,"B1221_91",NA,0,91,2,31,12,12,4,1,1,0,0,0,0,88,31
"25","B1222",1996,"B1222_94",NA,0,94,2,57,6,6,4,1,2,0,0,0,0,88,51
"26","B1271",1996,"B1271_92",NA,0,92,2,22,6,6,4,1,2,0,0,0,0,88,88
"27","B1305",1996,"B1305_92",NA,0,92,2,39,6,6,1,1,6,0,0,0,0,88,38
"28","B132",1996,"B132_91",NA,0,91,2,52,9,9,4,1,6,0,0,0,0,88,91
"29","B1336",1996,"B1336_95",NA,0,95,2,28,12,12,4,1,2,0,0,0,0,88,88
"30","B1338",1996,"B1338_91",NA,0,91,2,26,12,12,1,1,0,0,0,0,0,88,88
"31","B1345",1996,"B1345_92",NA,0,92,2,40,6,6,4,1,4,0,0,0,0,92,32
"32","B1354",1996,"B1354_93",NA,0,93,2,59,6,6,1,1,1,0,0,0,0,88,33
"33","B136",1996,"B136_91",NA,0,91,2,56,6,6,4,1,0,0,0,0,0,88,31
"34","B1363",1996,"B1363_91",NA,0,91,2,55,6,6,1,1,3,0,0,0,0,88,0
"35","B1375",1996,"B1375_91",NA,0,91,2,44,14,16,1,1,1,0,0,0,0,88,88
"36","B138",1996,"B138_93",NA,0,93,2,31,12,12,4,1,1,0,0,0,0,88,88
"37","B1420",1996,"B1420_92",NA,0,92,2,43,6,6,1,1,2,0,0,0,0,88,92
"38","B1461",1996,"B1461_92",NA,0,92,2,37,12,12,1,1,1,0,0,0,0,88,2
"39","B1473",1996,"B1473_93",NA,0,93,2,37,6,6,4,1,2,0,0,0,0,88,33
"40","B1548",1996,"B1548_92",NA,0,92,2,34,9,9,1,1,2,0,0,0,0,88,88
"41","B1675",1996,"B1675_91",NA,0,91,2,48,6,6,4,1,6,0,0,0,0,88,91
"42","B168",1996,"B168_92",NA,0,92,2,31,17,17,1,1,1,0,0,0,0,88,88
"43","B1695",1996,"B1695_91",NA,0,91,2,43,14,16,1,1,1,0,0,0,0,88,31
"44","B1696",1996,"B1696_93",NA,0,93,2,55,6,6,1,1,3,0,0,0,0,88,54
"45","B170",1996,"B170_92",NA,0,92,2,34,6,6,4,1,2,0,0,0,0,88,88
"46","B1704",1996,"B1704_94",NA,0,94,2,26,12,12,1,1,1,0,0,0,0,88,88
"47","B1735",1996,"B1735_91",NA,0,91,2,49,6,6,1,1,3,0,0,0,0,31,31
"48","B1741",1996,"B1741_92",NA,0,92,2,43,16,16,1,1,4,0,0,0,0,88,88
"49","B1770",1996,"B1770_93",NA,0,93,2,40,16,16,4,1,2,0,0,0,0,0,93
"50","B1773",1996,"B1773_91",NA,0,91,2,39,9,9,4,1,2,0,0,0,0,88,91
"51","B1778",1996,"B1778_92",NA,0,92,2,41,16,16,1,1,1,0,0,0,0,88,88
"52","B1881",1996,"B1881_95",NA,0,95,2,37,9,9,1,1,3,0,0,0,0,88,35
"53","B1920",1996,"B1920_92",NA,0,92,2,53,0,0,1,1,3,0,0,0,0,88,92
"54","B1937",1996,"B1937_91",NA,0,91,2,22,9,9,1,1,1,0,0,0,0,88,88
"55","B2029",1996,"B2029_91",NA,0,91,2,43,6,6,1,1,3,0,0,0,0,2,2
"56","B2032",1996,"B2032_96",NA,0,96,2,26,9,9,4,1,1,0,0,0,0,95,95
"57","B2038",1996,"B2038_93",NA,0,93,2,38,6,6,4,1,0,0,0,0,0,88,88
